Target URL,Place,Parameter,Technique(s),Note(s)
http://www.pixiv.net:80/member.php,,,,
http://www.cfwb2b.com/company_page.php?id=3888,GET,id,T,
http://www.suanjiaju.com:80/category.php,,,,
http://suanjiaju.com:80/category.php,,,,
http://www.zuzuche.com:80/notary/city.php,,,,
http://www.yingjiesheng.com:80/job_source.php,,,,
https://m.pr.connect.facebook.com:443/profile.php,,,,
http://demoshop8.wxwtx.com:80/goods.php,,,,
http://skytv.com.cn:80/plus/index.php,,,,
https://m.m.lite.facebook.com:443/profile.php,,,,
http://www.0517offer.com:80/article/info.php,,,,
http://www.topbro.cn:80/newsView.php,,,,
http://www.dfiseki.com:80/article.php,,,,
http://www.zuzuche.com:80/notary/notary_office.php,,,,
