Target URL,Place,Parameter,Technique(s),Note(s)
https://www.betezion.com:443/profile.php,,,,
http://www.esperanto.lt/board/zboard.php?id=BET52,GET,id,T,false positive or unexploitable
https://www.readinga-z.com/book.php?id=80,Host,Host,S,false positive or unexploitable
http://www.catholic.org:80/news/saints/story.php,,,,
http://www.arcticmonkeys.com:80/song.php,,,,
https://m.facebook.com:443/profile.php,,,,
http://www.victoriaderby.com.au:80/out/bet.php,,,,
http://www.olbg.com:80/blogs/post.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_opinion.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.sweepsadvantage.com:80/go.php,,,,
https://aviation-safety.net:443/wikibase/wiki.php,,,,
http://www.fckladionica.com:80/partners.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.songfacts.com:80/detail.php,,,,
http://www.olbg.com:80/blogs/post.php,,,,
https://m.facebook.com:443/profile.php,,,,
http://www.betmma.tips:80/mma_handicapper.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://comicfury.com:80/forum/viewthread.php,,,,
http://www.kedem.com:80/products.php,,,,
http://www.songfacts.com:80/detail.php,,,,
http://endmonth.co.ke:80/news/redirect.php,,,,
http://www.olbg.com:80/blogs/post.php,,,,
http://www.olbg.com:80/blogs/post.php,,,,
http://www.olbg.com:80/blogs/post.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.entertainmentscene.com.au:80/go/link.php,,,,
http://moodle.oakland.k12.mi.us:80/clarenceville/mod/url/view.php,,,,
http://www.songfacts.com:80/detail.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://csgofakebet.com:80/match.php,,,,
http://www.betmma.tips:80/mma_handicapper.php,,,,
http://www.bet-ta.com:80/references/projet.php,,,,
http://www.portaldisc.com:80/gratis.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.fcbet.com:80/partners.php,,,,
http://www.olbg.com:80/blogs/post.php,,,,
http://www.sofianewsagency.com:80/view_news.php,,,,
http://www.servicespace.org:80/blog/view.php,,,,
http://ligaevropa.start.bg:80/link.php,,,,
http://www.problitz.com:80/news/view.php,,,,
http://www.problitz.com:80/news/view.php,,,,
http://aprilfoolsdayontheweb.com:80/gotosite.php,,,,
http://www.betmma.tips:80/mma_handicapper.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://www.bet-ta.com:80/references/projet.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.israelhayom.com:80/site/newsletter_article.php,,,,
http://heritage.lib.hkbu.edu.hk:80/view.php,,,,
http://videowiki.root2020.com:80/index.php,,,,
https://bitcointalk.org:443/index.php,,,,
http://www.mediabusinessasia.com:80/article.php,,,,
http://www.betmma.tips:80/mma_handicapper.php,,,,
http://www.faceiraq.com:80/inews.php,,,,
http://www.bukmekery.co:80/visit.php,,,,
http://www.olbg.com:80/blogs/post.php,,,,
