Target URL,Place,Parameter,Technique(s),Note(s)
http://www.chakd.com/d.php?id=25&areacode=0517,GET,id,B,false positive or unexploitable
http://bbs.huainet.com:80/forum.php,,,,
http://www.hao0517.com:80/plugin.php,,,,
http://www.huainet.com:80/forum.php,,,,
http://www.0517harc.com:80/news/news-show.php,,,,
http://www.cnribao.com:80/temphuaiannews.php,,,,
http://www.parkchina.net/park/news_view.php?id=435&park_id=984&st=1,GET,id,BU,
http://www.parkchina.net/park/news_view.php?id=435&park_id=984&st=1,GET,id,BU,
http://www.huaian.com:80/index.php,,,,
http://news.hynews.net:80/e/tags/index.php,,,,
http://voice.people.com.cn:80/voice/read.php,,,,
http://www.fwol.cn:80/gotoweb.php,,,,
http://www.tzagri.gov.cn:80/tznw/info.php,,,,
http://www.cnmf.net:80/photo/web/101.php,,,,
http://www.e-gov.org.cn:80/egov/web/article_detail.php,,,,
http://www.jssfjx.cn:80/show.php,,,,
http://xqsyxx.hakfqjy.cn/index.php?option=content&task=view&id=759,GET,id,B,
http://xqsyxx.hakfqjy.cn/index.php?option=content&task=view&id=759,GET,id,B,
http://zy.zwbk.org:80/index.php,,,,
http://www.jssdfz.gov.cn:80/index.php,,,,
http://www.jssfxw.com:80/ext_details.php,,,,
http://www.tzghj.gov.cn:80/new/news_view.php,,,,
http://www.hakfqjy.cn:80/bencandy.php,,,,
http://jsbbs.people.com.cn:80/voice/read.php,,,,
http://weizhang.zuzuche.com:80/oil_map.php,,,,
http://marry.huainet.com:80/shangjia/jd_article.php,,,,
http://www.hazp.com.cn:80/news/news-show.php,,,,
http://www.el616.com:80/newsInfor.php,,,,
http://360.mafengwo.cn:80/travels/info.php,,,,
http://www.jsbaw.net:1818/index.php,,,,
http://www.cjyc.cn:80/news_detail.php,,,,
http://qhqfy.chinacourt.org:80/public/detail.php,,,,
http://www.ezhanhui.com.cn/news/zhantai.php?id=17504,GET,id,BU,
http://www.ezhanhui.com.cn/news/zhantai.php?id=17504,GET,id,BU,
http://www.babytree.com:80/ask/tag_city_list.php,,,,
http://www.haggjt.com:80/index.php,,,,
http://www.chezhilv.cn:80/jiangsu/bencandy.php,,,,
http://www.mzyfz.com:80/index.php/cms/item-view-id-1190071,,,,
http://www.lsrczp.com:80/article/info.php,,,,
http://www.xuyihr.com:80/company/company-show.php,,,,
http://www.shyrcw.net/news/news-show.php?id=1144,GET,id,B,false positive or unexploitable
http://www.zocne.com/newsdetail.php?id=321,GET,id,B,false positive or unexploitable
http://www.seo-ha.com:80/news_view.php,,,,
http://www.cnjidan.com:80/akcms_item.php,,,,
http://bbs.cfanclub.net:80/classinfo/infodetail.php,,,,
http://www.huishangol.com:80/display.php,,,,
http://www.hmabio.com:80/cn/newsview.php,,,,
http://top.gaoloumi.com:80/buildinginfo.php,,,,
http://www.gearsnet.com:80/book/news1.php,,,,
http://change.guandan.com:80/news/shownews.php,,,,
http://www.zcqh.com:80/view.php,,,,
http://www.jsblood.com.cn:80/article.php,,,,
http://www.szzsjs.com:80/news_show.php,,,,
http://www.chuanmaocaifu.com:80/index.php,,,,
http://www.nihe.org.cn:80/news.php,,,,
http://photo.poco.cn:80/quan/circle_index.php,,,,
http://www.harcw.cc:80/news/news-show.php,,,,
http://www.jscq.com.cn:80/jsgq101.php,,,,
http://www.hx.gov.cn:80/include/web_view.php,,,,
http://www.312green.com:80/bid/detail.php,,,,
http://www.0517n.cn/newsshow.php?id=1046341,GET,id,B,
http://www.0517n.cn/newsshow.php?id=1046341,GET,id,B,
http://www.0110m.com:80/news_content.php,,,,
